Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
668304;Sacoşu Turcesc;Sacosu Turcesc;Sacosu Turcesc,Sacosu-Mare,Sacosul Turcesu,Sacosul-Mare,Sacosul-Turcesc,Sacoşu Turcesc,Sacoşu-Mare,Sacoşul Turcesu,Sacoşul-Mare,Sacoşul-Turcesc,Sacoșu Turcesc,Toeroekszakos,Torokszakos,Törökszákos;P;PPLA2;RO;Romania;;36;158449;;;3121;;95;Europe/Bucharest;2015-04-11;Romania;45.65194, 21.42889
668417;Rusca Montană;Rusca Montana;Rusca Montana,Rusca Montană;P;PPLA2;RO;Romania;;12;53728;;;1820;;366;Europe/Bucharest;2013-04-21;Romania;45.56741, 22.45816
668552;Pecica;Pecica;Magyarpecska,Magyarpécska,Opecska,Pecica,Pecica Ungureasca,Pecica Ungurească,Pecica Veche,Petschka,Rovine,Ópécska;P;PPLA2;RO;Romania;;02;11584;;;12804;;100;Europe/Bucharest;2012-06-12;Romania;46.16667, 21.06667
668911;Râfov;Rafov;Rafovul,Rifov,Râfovul,Rîfov;P;PPLA2;RO;Romania;;30;135020;;;5472;;102;Europe/Bucharest;2012-06-12;Romania;44.86667, 26.13333
668968;Remuș;Remus;Remus,Remuş,Vasile Epurescu;P;PPL;RO;Romania;;42;102909;;;1996;;24;Europe/Bucharest;2013-04-21;Romania;43.94295, 25.98039
669245;Radovan;Radovan;;P;PPLA2;RO;Romania;;17;73852;;;1048;;93;Europe/Bucharest;2015-11-27;Romania;44.16667, 23.61667
669610;Priseaca;Priseaca;Priseaca;P;PPLA2;RO;Romania;;29;128436;;;1920;;218;Europe/Bucharest;2012-06-12;Romania;44.51667, 24.45
669618;Prisăcani;Prisacani;Prisacani,Prisacani-Moreni,Prisecani,Prisecani-Moreni,Prisăcani,Prisăcani-Moreni;P;PPLA2;RO;Romania;;23;98603;;;3578;;33;Europe/Bucharest;2012-06-12;Romania;47.08333, 27.88333
669685;Prelipca;Prelipca;;P;PPL;RO;Romania;;34;146370;;;1146;;262;Europe/Bucharest;2013-04-21;Romania;47.61085, 26.35414
669904;Popeşti;Popesti;;P;PPL;RO;Romania;;03;15233;;;4104;;241;Europe/Bucharest;2016-02-07;Romania;44.76667, 25.06667
670021;Poiana Teiului;Poiana Teiului;Poiana Teiului,Poiana Teului,Poiana-Teiuluui;P;PPLA2;RO;Romania;;28;123790;;;5145;;664;Europe/Bucharest;2012-06-12;Romania;47.1, 25.96667
670057;Poiana Mărului;Poiana Marului;;P;PPL;RO;Romania;;34;149316;;;1236;;472;Europe/Bucharest;2013-04-21;Romania;47.41188, 26.04077
670092;Poiana Cristei;Poiana Cristei;Poiana Cristei;P;PPLA2;RO;Romania;;40;177263;;;2775;;381;Europe/Bucharest;2012-06-12;Romania;45.65, 26.98333
670336;Podenii Noi;Podenii Noi;Podenii Noi,Podenii-Noui;P;PPLA2;RO;Romania;;30;134443;;;4644;;206;Europe/Bucharest;2012-06-12;Romania;45.11667, 26.16667
670625;Piscu Sadovei;Piscu Sadovei;Piscu,Piscu Sadovei,Piscul;P;PPL;RO;Romania;;17;73996;;;1344;;55;Europe/Bucharest;2013-04-21;Romania;43.87729, 23.93687
670810;Pietrosu;Pietrosu;;P;PPL;RO;Romania;;23;99478;;;1306;;303;Europe/Bucharest;2013-04-21;Romania;47.34118, 26.60817
670820;Pietroșani;Pietrosani;;P;PPL;RO;Romania;;30;134942;;;2516;;101;Europe/Bucharest;2013-04-21;Romania;44.83963, 26.10382
670982;Petreu;Petreu;;P;PPL;RO;Romania;;05;27169;;;1517;;127;Europe/Bucharest;2013-04-21;Romania;47.33738, 22.29607
671319;Părteştii de Jos;Partestii de Jos;;P;PPLA2;RO;Romania;;34;149780;;;2998;;413;Europe/Bucharest;2012-06-12;Romania;47.63333, 25.96667
671738;Orbeasca de Sus;Orbeasca de Sus;;P;PPL;RO;Romania;;35;153507;;;8203;;70;Europe/Bucharest;2016-02-07;Romania;44.15, 25.31667
